date,value
bcefh-logROC,0.6947712404895
bcefh-gbtROC,0.701257893421179
bcefhi-logACC,0.6393602736061752
bcefhi-gbtACC,0.6528685180939279
bcefhi-logROC,0.6930405780684659
bcefhi-gbtROC,0.7081182773797683
bcefg-logACC,0.5997555313538919
bcefg-gbtACC,0.6118652126561963
bcefg-logROC,0.6369260362182755
bcefg-gbtROC,0.6555398212224807
bcefgi-logACC,0.6037770549123008
bcefgi-gbtACC,0.6185969372157897
bcefgi-logROC,0.6367006514146298
bcefgi-gbtROC,0.6652183528882272
bcefgh-logACC,0.6403656138943024
bcefgh-gbtACC,0.6481035958576942
bcefgh-logROC,0.6942359961471944
bcefgh-gbtROC,0.7055669300437684
bcefghi-logACC,0.6405841835759869
bcefghi-gbtACC,0.6556223776223776
bcefghi-logROC,0.6926929254106696
bcefghi-gbtROC,0.7119427908783138
bcdhi-logACC,0.6374371011502158
bcdhi-gbtACC,0.6420713439565898
bcdhi-logROC,0.6757447175140466
bcdhi-gbtROC,0.6934176186636277
bcdgi-logACC,0.5432770835721655
bcdgi-gbtACC,0.5707310653827047
bcdgi-logROC,0.5645450926873425
bcdgi-gbtROC,0.6002220543037733
bcdgh-logACC,0.638398782911078
bcdgh-gbtACC,0.6394484695632237
bcdgh-logROC,0.6749079405843809
bcdgh-gbtROC,0.6882585900836586
bcdghi-logACC,0.6387922159807405
bcdghi-gbtACC,0.6429020023692156
bcdghi-logROC,0.6779667306264614
bcdghi-gbtROC,0.6967354478389566
bcdfi-logACC,0.5950780981313768
bcdfi-gbtACC,0.6158868795139287
bcdfi-logROC,0.6275503447982228
bcdfi-gbtROC,0.6556156962603253
bcdfh-logACC,0.6422894073139974
bcdfh-gbtACC,0.6506827926172188
bcdfh-logROC,0.6946872174381516
bcdfh-gbtROC,0.7098024491421147
bcdfhi-logACC,0.6446936738125262
bcdfhi-gbtACC,0.6603435744583285
bcdfhi-logROC,0.6957872370817346
bcdfhi-gbtROC,0.7157059338748569
bcdfg-logACC,0.59971120409645
bcdfg-gbtACC,0.6153620600710765
bcdfg-logROC,0.6274480326135917
bcdfg-gbtROC,0.6567913493009729
bcdfgi-logACC,0.5978320340861324
bcdfgi-gbtACC,0.6186404333371547
bcdfgi-logROC,0.6286564073155816
bcdfgi-gbtROC,0.6634420297982275
bcdfgh-logACC,0.6450871068821888
bcdfgh-gbtACC,0.654748022469334
bcdfgh-logROC,0.6949880008305106
bcdfgh-gbtROC,0.7138099240601726
bcdfghi-logACC,0.6467045836676985
bcdfghi-gbtACC,0.6607807233749856
bcdfghi-logROC,0.696241297864847
bcdfghi-gbtROC,0.7192984120441753
bcdei-logACC,0.6047390901448277
bcdei-gbtACC,0.6222257728610188
bcdei-logROC,0.6368720085472832
bcdei-gbtROC,0.6671873213044298
bcdeh-logACC,0.6422892353548091
bcdeh-gbtACC,0.6596002331002331
bcdeh-logROC,0.6967832060801923
bcdeh-gbtROC,0.7152443964687535
bcdehi-logACC,0.6445624689518132
bcdehi-gbtACC,0.6609118900225457
bcdehi-logROC,0.6972328750650996
bcdehi-gbtROC,0.719921154512892
bcdeg-logACC,0.6062686002522069
bcdeg-gbtACC,0.6199961309182621
bcdeg-logROC,0.6365616445031014
bcdeg-gbtROC,0.6664175976782161
bcdegi-logACC,0.6066621957277695
bcdegi-gbtACC,0.6259850586571898
bcdegi-logROC,0.6373128363111772
bcdegi-gbtROC,0.673470074329793
bcdegh-logACC,0.6452181684435783
bcdegh-gbtACC,0.6623105869540296
bcdegh-logROC,0.6977509278812168
bcdegh-gbtROC,0.718915634906921
bcdeghi-logACC,0.6449122434942107
bcdeghi-gbtACC,0.6665071745194695
bcdeghi-logROC,0.6983753554372997
bcdeghi-gbtROC,0.7233260430524414
bcdef-logACC,0.5933294833581719
bcdef-gbtACC,0.6147067904772824
bcdef-logROC,0.6361775489243046
bcdef-gbtROC,0.6568789878763891
bcdefi-logACC,0.6014166857732431
bcdefi-gbtACC,0.6202145859604876
bcdefi-logROC,0.6368478406103886
bcdefi-gbtROC,0.664471079761914
bcdefh-logACC,0.6435133363903855
bcdefh-gbtACC,0.6587697753066605
bcdefh-logROC,0.6968895092049471
bcdefh-gbtROC,0.7132915142538397
bcdefhi-logACC,0.6438193091061943
bcdefhi-gbtACC,0.6622669761932057
bcdefhi-logROC,0.6975861081799121
bcdefhi-gbtROC,0.7176955443774233
bcdefg-logACC,0.6035147884901984
bcdefg-gbtACC,0.6196459646910467
bcdefg-logROC,0.6365846241403476
bcdefg-gbtROC,0.6652865001653921
bcdefgi-logACC,0.6060503458290343
bcdefgi-gbtACC,0.6235366941801368
bcdefgi-logROC,0.6375376818374181
bcdefgi-gbtROC,0.671971646430842
bcdefgh-logACC,0.6461799266307463
bcdefgh-gbtACC,0.6615236539416867
bcdefgh-logROC,0.6977285719494779
bcdefgh-gbtROC,0.716943342188477
bcdefghi-logACC,0.6459176124422026
bcdefghi-gbtACC,0.6651082769689327
bcdefghi-logROC,0.698472285614389
bcdefghi-gbtROC,0.7222447278836353
afghi-logACC,0.6265083973403646
afghi-gbtACC,0.6324537525316214
afghi-logROC,0.6699938966650784
afghi-gbtROC,0.681834048145572
aeghi-logACC,0.627076569605258
aeghi-gbtACC,0.6434257709503611
aeghi-logROC,0.673294647867845
aeghi-gbtROC,0.6909676132489365
aefhi-logACC,0.6258527742749054
